"","field","type","filename","p_f","p_g","p_l"
"1",DN1,Blue,res/DN1_Blue_5.00_1.00_1.00.pdf,1,1,1
"2",DN1,Blue,res/DN1_Blue_6.00_1.00_1.00.pdf,1,1,1
"3",DN1,Blue,res/DN1_Blue_7.00_1.00_1.00.pdf,1,1,1
"4",DN1,Blue,res/DN1_Blue_8.00_1.00_1.00.pdf,1,1,1
"5",DN1,Blue,res/DN1_Blue_9.00_1.00_1.00.pdf,1,1,1
"6",DN1,Blue,res/DN1_Blue_10.00_1.00_1.00.pdf,0.99,1,1
"7",DN1,Blue,res/DN1_Blue_5.00_3.00_1.00.pdf,1,1,1
"8",DN1,Blue,res/DN1_Blue_6.00_3.00_1.00.pdf,1,1,1
"9",DN1,Blue,res/DN1_Blue_7.00_3.00_1.00.pdf,1,1,1
"10",DN1,Blue,res/DN1_Blue_8.00_3.00_1.00.pdf,1,1,1
"11",DN1,Blue,res/DN1_Blue_9.00_3.00_1.00.pdf,0.95,1,1
"12",DN1,Blue,res/DN1_Blue_10.00_3.00_1.00.pdf,0.8,1,1
"13",DN1,Blue,res/DN1_Blue_5.00_5.00_1.00.pdf,1,1,1
"14",DN1,Blue,res/DN1_Blue_6.00_5.00_1.00.pdf,1,1,1
"15",DN1,Blue,res/DN1_Blue_7.00_5.00_1.00.pdf,1,1,1
"16",DN1,Blue,res/DN1_Blue_8.00_5.00_1.00.pdf,1,1,1
"17",DN1,Blue,res/DN1_Blue_9.00_5.00_1.00.pdf,0.97,1,1
"18",DN1,Blue,res/DN1_Blue_10.00_5.00_1.00.pdf,0.65,1,1
"19",DN1,Blue,res/DN1_Blue_5.00_7.00_1.00.pdf,1,1,1
"20",DN1,Blue,res/DN1_Blue_6.00_7.00_1.00.pdf,1,1,1
"21",DN1,Blue,res/DN1_Blue_7.00_7.00_1.00.pdf,1,1,1
"22",DN1,Blue,res/DN1_Blue_8.00_7.00_1.00.pdf,1,1,1
"23",DN1,Blue,res/DN1_Blue_9.00_7.00_1.00.pdf,0.97,1,1
"24",DN1,Blue,res/DN1_Blue_10.00_7.00_1.00.pdf,0.9,1,1
"25",DN1,Blue,res/DN1_Blue_5.00_9.00_1.00.pdf,1,1,1
"26",DN1,Blue,res/DN1_Blue_6.00_9.00_1.00.pdf,1,1,1
"27",DN1,Blue,res/DN1_Blue_7.00_9.00_1.00.pdf,1,1,1
"28",DN1,Blue,res/DN1_Blue_8.00_9.00_1.00.pdf,1,1,1
"29",DN1,Blue,res/DN1_Blue_9.00_9.00_1.00.pdf,0.98,1,1
"30",DN1,Blue,res/DN1_Blue_10.00_9.00_1.00.pdf,NA,NA,NA
"31",DN1,Blue,res/DN1_Blue_5.00_1.00_3.00.pdf,1,1,1
"32",DN1,Blue,res/DN1_Blue_6.00_1.00_3.00.pdf,1,1,1
"33",DN1,Blue,res/DN1_Blue_7.00_1.00_3.00.pdf,1,1,1
"34",DN1,Blue,res/DN1_Blue_8.00_1.00_3.00.pdf,1,1,1
"35",DN1,Blue,res/DN1_Blue_9.00_1.00_3.00.pdf,1,1,1
"36",DN1,Blue,res/DN1_Blue_10.00_1.00_3.00.pdf,0.92,1,1
"37",DN1,Blue,res/DN1_Blue_5.00_3.00_3.00.pdf,1,1,1
"38",DN1,Blue,res/DN1_Blue_6.00_3.00_3.00.pdf,1,1,1
"39",DN1,Blue,res/DN1_Blue_7.00_3.00_3.00.pdf,1,1,1
"40",DN1,Blue,res/DN1_Blue_8.00_3.00_3.00.pdf,1,1,1
"41",DN1,Blue,res/DN1_Blue_9.00_3.00_3.00.pdf,0.72,1,1
"42",DN1,Blue,res/DN1_Blue_10.00_3.00_3.00.pdf,0.38,1,1
"43",DN1,Blue,res/DN1_Blue_5.00_5.00_3.00.pdf,1,1,1
"44",DN1,Blue,res/DN1_Blue_6.00_5.00_3.00.pdf,0.99,1,1
"45",DN1,Blue,res/DN1_Blue_7.00_5.00_3.00.pdf,0.94,1,1
"46",DN1,Blue,res/DN1_Blue_8.00_5.00_3.00.pdf,0.79,1,1
"47",DN1,Blue,res/DN1_Blue_9.00_5.00_3.00.pdf,0.53,1,1
"48",DN1,Blue,res/DN1_Blue_10.00_5.00_3.00.pdf,NA,NA,NA
"49",DN1,Blue,res/DN1_Blue_5.00_7.00_3.00.pdf,1,1,1
